annee,3++,3+,3,4+,4,5+,5,6,7,8,9,total_cotations
2017,10 624,19 273,30 609,40 481,59 413,63 530,22 238,12 800,1 504,910,134,261 516
2018,11 929,20 570,31 946,43 054,60 121,62 284,20 997,12 447,1 566,907,96,265 917
2019,12 371,20 755,33 242,43 717,60 295,63 860,21 452,12 550,1 390,749,80,270 461
2020,9 496,16 183,26 791,35 981,53 506,64 950,20 048,10 136,495,190,21,237 797
