banque,url_brochure_tarifaire,commission_mouvement_fixe,commission_mouvement_variable,virement_sepa_sortant,paiement_prelevement_sepa,ecriture_comptable,tenue_compte,actualisation_compte,banque_distance,total_frais_fixes
Banque Palatine,https://www.img.palatine.fr/app/uploads/sites/35/2023/01/26152540/brochure-tarifaire-2023-entreprises.pdf,"23,33","0,20","0,24","0,00","0,00","33,33","27,08","50,00","133,75"
Banque Populaire (Paris),https://www.img.banquepopulaire.fr/app/uploads/sites/28/2023/01/23120803/bat-professionnelentreprise-2023.pdf,"6,67","0,15","0,00","0,00","0,00","36,67","6,67","21,00","71,00"
BNP Paribas,https://broadcast.mediahub.bnpparibas/mh/external/master/5cf916ab-3f78-43f7-b2c5-e7f91e25fcb6,"10,00","0,20","0,20","0,00","0,00","30,00","18,13","44,00","102,13"
BRED,https://www.bred.fr/medias/pdf/tarifs/2023/tarifs-entreprises-metropole-2023.pdf,"20,00","0,20","0,00","0,00","0,00","30,67","15,83","40,00","106,50"
Caisse d’Épargne (Île-de-France),https://www.caisse-epargne.fr/mbp-legales-contractuelles-telechargement.aspx?cle=xykLxBjepiuYRihq0zlcNxJqJBnq4ySKsBgq2E%2fGuXK05vN79wmkR%2bC54rL6ZMo%2f,"8,67","0,25","0,20","0,00","0,00","38,33","20,83","20,00","87,83"
CIC,https://www.cic.fr/partage/fr/CC/CIC-2015/telechargements/tarifs/Tarifs_CIC_Entreprises_2023.pdf,"5,33","0,20","0,21","0,00","0,10","38,00","16,67","40,00","100,00"
Crédit Coopératif,https://www.img.credit-cooperatif.coop/app/uploads/sites/19/2022/10/09165324/ccoop-guide-tarifs-bancaires-2023-pros-pm.pdf,"0,00","0,18","0,20","0,00","0,00","60,00","20,83","16,00","96,83"
Crédit Mutuel (Île-de-France),https://www.creditmutuel.fr/fr/vitrine/medias/docs/tarifs/convention-clarte/2023/clarte-pro-cmcee.pdf,"7,00","0,20","0,11","0,00","0,07","18,75","6,67","9,00","41,42"
HSBC,https://www.business.hsbc.fr/-/media/media/france/pdfs/common/brochure-tarifaire-entreprise-fr-2023.pdf,"15,00","0,30","0,22","0,00","0,40","35,00","18,75","26,00","94,75"
La Banque Postale,https://www.labanquepostale.fr/content/dam/lbp/documents/tarifs/pmo/2023/2023-tarifs-entreprises-la-banque-postale.pdf,"6,00","0,15","0,00","0,00","0,00","15,67","15,83","13,00","50,50"
Société Générale,https://entreprises.sg.fr/static/ent/Entreprises/Medias/PDF/Tarifs_2023_FR.pdf,"8,00","0,20","0,21","0,00","0,00","31,00","33,33","30,50","102,83"
